001,Hollow Knight,Metroidvania,2018,Team Cherry,Steam
002,Death Stranding,Strand,2019,Kojima Productions,PlayStation 5
003,Portal 2,Puzzle,2011,VALVE,PC
004,Metal Gear Solid,Stealth,1998,Konami,PlayStation 1
005,Super Mario Galaxy 2,Platformer,2010,Nintendo,Wii
006,The Last of Us,Action,2013,Naughty Dog,PlayStation 3
007,Metal Gear Solid 2: Sons of Liberty,Stealth,2001,Konami,PlayStation 2
008,Bloodborne,Action RPG,2015,FromSoftware,PlayStation 4
009,The Legend of Zelda: Breath of the Wild,Adventure,2017,Nintendo,Switch
010,Elden Ring,Action RPG,2022,FromSoftware,Steam
011,Dark Souls III,Action RPG,2016,FromSoftware,Xbox One
012,Ghost of Tsushima,Action,2020,Sucker Punch,PlayStation 4
013,Red Dead Redemption 2,Adventure,2018,Rockstar Games,Xbox One
014,GTA V,Action,2013,Rockstar Games,PlayStation 3
015,God of War,Action,2018,Santa Monica Studio,PlayStation 4
016,God of War: Ragnarok,Action,2022,Santa Monica Studio,PlayStation 5
017,Hades,Roguelike,2020,Supergiant Games,Switch
018,Stardew Valley,Simulation,2016,ConcernedApe,Steam
019,Disco Elysium,RPG,2019,ZA/UM,PC
020,Celeste,Platformer,2018,Matt Makes Games,Switch
021,Undertale,RPG,2015,Toby Fox,PS Vita
022,Final Fantasy VII Remake,RPG,2020,Square Enix,PlayStation 4
023,Final Fantasy XVI,RPG,2023,Square Enix,PlayStation 5
024,Resident Evil 2 Remake,Horror,2019,Capcom,Xbox One
025,Resident Evil 4 Remake,Horror,2023,Capcom,PlayStation 5
026,It Takes Two,Co-op,2021,Hazelight Studios,Xbox Series X
027,A Way Out,Co-op,2018,Hazelight Studios,PlayStation 4
028,The Outer Wilds,Exploration,2019,Mobius Digital,Steam
029,Control,Action,2019,Remedy Entertainment,Steam
030,Alan Wake II,Horror,2023,Remedy Entertainment,PlayStation 5
031,The Witcher 3: Wild Hunt,RPG,2015,CD Projekt Red,Steam
032,Cyberpunk 2077,RPG,2020,CD Projekt Red,Xbox One
033,Minecraft,Sandbox,2011,Mojang,PC
034,Terraria,Sandbox,2011,Re-Logic,Steam
035,Doom Eternal,Shooter,2020,id Software,Stadia
036,Halo Infinite,Shooter,2021,343 Industries,Xbox Series X
037,Tunic,Adventure,2022,Finji,Xbox One
038,Stray,Adventure,2022,BlueTwelve Studio,PlayStation 5
039,Returnal,Roguelike,2021,Housemarque,PlayStation 5
040,Dead Space Remake,Horror,2023,Motive Studio,Xbox Series X
041,Bayonetta 3,Action,2022,PlatinumGames,Switch
042,Monster Hunter: World,Action RPG,2018,Capcom,PlayStation 4
043,Monster Hunter Rise,Action RPG,2021,Capcom,Switch
044,Fire Emblem: Three Houses,Strategy,2019,Nintendo,Switch
045,Xenoblade Chronicles 3,RPG,2022,Monolith Soft,Switch
046,Sea of Stars,RPG,2023,Sabotage Studio,Switch
047,Hi-Fi Rush,Rhythm Action,2023,Tango Gameworks,Xbox Series X
048,The Stanley Parable,Adventure,2013,Galactic Cafe,PC
049,Papers, Please,Simulation,2013,3909 LLC,Steam
050,Slay the Spire,Card Battler,2019,MegaCrit,Mobile
